date,state,total_enrollments,male_enrollments,female_enrollments,child_enrollments,adult_enrollments,senior_enrollments,center_type
2023-01-06,Bihar,991,510,481,247,545,198,Permanent
2023-01-06,Chhattisgarh,820,404,415,205,451,164,Temporary
2023-01-06,Goa,297,149,148,74,163,59,Temporary
2023-01-06,Gujarat,599,298,300,149,329,119,Permanent
2023-01-06,Haryana,667,333,333,166,367,133,Permanent
2023-01-06,Himachal Pradesh,1103,557,545,275,606,220,Permanent
2023-01-06,Jharkhand,848,410,438,212,466,169,Temporary
2023-01-06,Karnataka,760,388,372,190,418,152,Permanent
2023-01-06,Kerala,1061,511,550,265,583,212,Permanent
2023-01-06,Madhya Pradesh,738,368,370,184,406,147,Permanent
2023-01-06,Maharashtra,688,334,353,172,378,137,Permanent
2023-01-06,Manipur,1178,578,600,294,648,235,Permanent
2023-01-06,Meghalaya,686,330,356,171,377,137,Permanent
2023-01-06,Mizoram,519,251,267,129,285,103,Temporary
2023-01-06,Nagaland,469,227,242,117,258,93,Permanent
2023-01-06,Odisha,1001,496,504,250,550,200,Permanent
2023-01-06,Punjab,470,226,244,117,259,94,Permanent
2023-01-06,Rajasthan,491,253,238,122,270,98,Temporary
2023-01-06,Sikkim,588,296,291,147,323,117,Permanent
2023-01-06,Tamil Nadu,851,423,427,212,468,170,Permanent
2023-01-06,Telangana,1195,615,579,298,657,239,Permanent
2023-01-06,Tripura,1151,553,597,287,633,230,Permanent
2023-01-06,Uttar Pradesh,801,389,412,200,440,160,Temporary
2023-01-06,Uttarakhand,1190,584,606,297,654,238,Permanent
2023-01-06,West Bengal,1053,517,536,263,579,210,Permanent
2023-01-06,Delhi,928,446,482,232,510,185,Permanent
2023-01-06,Jammu and Kashmir,1176,593,583,294,647,235,Permanent
2023-01-07,Andhra Pradesh,295,146,148,73,162,59,Permanent
2023-01-07,Arunachal Pradesh,195,94,100,48,107,39,Permanent
2023-01-07,Assam,308,152,155,77,169,61,Temporary
2023-01-07,Bihar,343,173,169,85,188,68,Temporary
2023-01-07,Chhattisgarh,552,271,281,138,303,110,Permanent
2023-01-07,Goa,207,102,105,51,114,41,Temporary
2023-01-07,Gujarat,218,109,109,54,120,43,Permanent
2023-01-07,Haryana,400,205,195,100,220,80,Permanent
2023-01-07,Himachal Pradesh,330,160,170,82,181,66,Temporary
2023-01-07,Jharkhand,279,136,143,69,153,55,Permanent
2023-01-07,Karnataka,672,340,331,168,369,134,Permanent
2023-01-07,Kerala,616,301,315,154,339,123,Temporary
2023-01-07,Madhya Pradesh,744,374,370,186,409,148,Temporary
2023-01-07,Maharashtra,203,105,98,50,111,40,Temporary
2023-01-07,Manipur,687,353,334,171,377,137,Permanent
2023-01-07,Meghalaya,603,291,312,150,332,120,Permanent
2023-01-07,Mizoram,374,184,189,93,205,74,Permanent
2023-01-07,Nagaland,592,305,287,148,325,118,Permanent
2023-01-07,Odisha,307,157,149,76,168,61,Temporary
2023-01-07,Punjab,382,191,191,95,210,76,Permanent
2023-01-07,Rajasthan,645,328,316,161,354,129,Permanent
2023-01-07,Sikkim,234,115,119,58,129,46,Permanent
2023-01-07,Tamil Nadu,200,101,98,50,110,40,Permanent
2023-01-07,Telangana,720,357,362,180,396,144,Temporary
2023-01-07,Tripura,687,334,352,171,378,137,Temporary
2023-01-07,Uttar Pradesh,333,168,165,83,183,66,Permanent
2023-01-07,Uttarakhand,289,141,148,72,159,57,Temporary
2023-01-07,West Bengal,391,203,188,97,215,78,Permanent
2023-01-07,Delhi,408,198,209,102,224,81,Temporary
2023-01-07,Jammu and Kashmir,289,145,143,72,159,57,Permanent
2023-01-08,Andhra Pradesh,243,117,125,60,133,48,Temporary
2023-01-08,Arunachal Pradesh,735,372,362,183,404,147,Permanent
2023-01-08,Assam,224,109,114,56,123,44,Temporary
2023-01-08,Bihar,413,209,203,103,227,82,Permanent
2023-01-08,Chhattisgarh,639,322,317,159,351,127,Temporary
2023-01-08,Goa,376,184,191,94,207,75,Temporary
2023-01-08,Gujarat,622,320,302,155,342,124,Temporary
2023-01-08,Haryana,648,327,321,162,356,129,Temporary
2023-01-08,Himachal Pradesh,282,135,146,70,155,56,Temporary
2023-01-08,Jharkhand,244,118,125,61,134,48,Temporary
2023-01-08,Karnataka,629,309,320,157,346,125,Permanent
2023-01-08,Kerala,721,364,356,180,396,144,Permanent
2023-01-08,Madhya Pradesh,561,281,279,140,308,112,Temporary
2023-01-08,Maharashtra,371,179,191,92,204,74,Temporary
2023-01-08,Manipur,505,256,248,126,277,101,Permanent
2023-01-08,Meghalaya,484,233,251,121,266,96,Temporary
2023-01-08,Mizoram,664,319,345,166,365,132,Permanent
2023-01-08,Nagaland,354,179,174,88,194,70,Permanent
2023-01-08,Odisha,325,166,159,81,179,65,Permanent
2023-01-08,Punjab,276,139,136,69,152,55,Permanent
2023-01-08,Rajasthan,657,340,317,164,361,131,Permanent
2023-01-08,Sikkim,517,268,248,129,284,103,Permanent
2023-01-08,Tamil Nadu,637,306,330,159,350,127,Permanent
2023-01-08,Telangana,400,207,192,100,220,80,Permanent
2023-01-08,Tripura,673,346,327,168,370,134,Temporary
2023-01-08,Uttar Pradesh,488,252,235,122,268,97,Permanent
2023-01-08,Uttarakhand,608,295,313,152,334,121,Permanent
2023-01-08,West Bengal,395,190,204,98,217,79,Permanent
2023-01-08,Delhi,338,168,170,84,186,67,Permanent
2023-01-08,Jammu and Kashmir,216,108,107,54,118,43,Permanent
2023-01-09,Andhra Pradesh,977,470,506,244,537,195,Permanent
2023-01-09,Arunachal Pradesh,373,188,184,93,205,74,Temporary
2023-01-09,Assam,805,397,407,201,442,161,Permanent
2023-01-09,Bihar,365,183,181,91,201,73,Permanent
2023-01-09,Chhattisgarh,977,473,504,244,537,195,Permanent
2023-01-09,Goa,844,429,414,211,464,168,Temporary
2023-01-09,Gujarat,982,503,478,245,540,196,Permanent
2023-01-09,Haryana,1111,553,558,277,611,222,Permanent
2023-01-09,Himachal Pradesh,798,385,413,199,439,159,Permanent
2023-01-09,Jharkhand,469,243,225,117,258,93,Permanent
2023-01-09,Karnataka,482,241,241,120,265,96,Permanent
2023-01-09,Kerala,907,438,469,226,499,181,Permanent
2023-01-09,Madhya Pradesh,529,269,260,132,291,105,Temporary
2023-01-09,Maharashtra,669,347,321,167,368,133,Permanent
2023-01-09,Manipur,1091,555,535,272,600,218,Permanent
2023-01-09,Meghalaya,1159,569,590,289,637,231,Permanent
2023-01-09,Mizoram,1076,543,532,269,591,215,Temporary
2023-01-09,Nagaland,430,209,220,107,236,86,Permanent
2023-01-09,Odisha,1120,559,560,280,616,224,Permanent
2023-01-09,Punjab,1075,531,543,268,591,215,Permanent
2023-01-09,Rajasthan,440,216,224,110,242,88,Permanent
2023-01-09,Sikkim,615,319,296,153,338,123,Permanent
2023-01-09,Tamil Nadu,471,236,235,117,259,94,Permanent
2023-01-09,Telangana,1037,523,513,259,570,207,Temporary
2023-01-09,Tripura,427,217,209,106,235,85,Permanent
2023-01-09,Uttar Pradesh,764,385,379,191,420,152,Temporary
2023-01-09,Uttarakhand,454,219,235,113,249,90,Permanent
2023-01-09,West Bengal,1008,502,505,252,554,201,Temporary
2023-01-09,Delhi,584,284,300,146,321,116,Temporary
2023-01-09,Jammu and Kashmir,1189,592,596,297,654,237,Permanent
2023-01-10,Andhra Pradesh,756,363,392,189,415,151,Permanent
2023-01-10,Arunachal Pradesh,894,464,430,223,492,178,Permanent
2023-01-10,Assam,898,437,460,224,493,179,Permanent
2023-01-10,Bihar,1153,576,576,288,634,230,Permanent
2023-01-10,Chhattisgarh,1090,564,526,272,599,218,Permanent
2023-01-10,Goa,872,432,439,218,479,174,Permanent
2023-01-10,Gujarat,391,200,191,97,215,78,Permanent
2023-01-10,Haryana,1022,504,518,255,562,204,Permanent
2023-01-10,Himachal Pradesh,1064,529,534,266,585,212,Temporary
2023-01-10,Jharkhand,410,202,208,102,225,82,Permanent
2023-01-10,Karnataka,673,335,338,168,370,134,Permanent
2023-01-10,Kerala,611,308,303,152,336,122,Permanent
2023-01-10,Madhya Pradesh,854,439,414,213,469,170,Permanent
2023-01-10,Maharashtra,719,362,357,179,395,143,Permanent
2023-01-10,Manipur,877,446,431,219,482,175,Temporary
2023-01-10,Meghalaya,302,153,149,75,166,60,Temporary
2023-01-10,Mizoram,561,290,271,140,308,112,Permanent
2023-01-10,Nagaland,390,191,198,97,214,78,Permanent
2023-01-10,Odisha,1026,517,508,256,564,205,Temporary
2023-01-10,Punjab,538,262,276,134,296,107,Permanent
2023-01-10,Rajasthan,465,225,239,116,255,93,Permanent
2023-01-10,Sikkim,554,267,287,138,304,110,Permanent
2023-01-10,Tamil Nadu,1170,603,567,292,643,234,Permanent
2023-01-10,Telangana,497,255,242,124,273,99,Temporary
2023-01-10,Tripura,595,292,303,148,327,119,Temporary
2023-01-10,Uttar Pradesh,696,351,344,174,382,139,Permanent
2023-01-10,Uttarakhand,786,404,381,196,432,157,Permanent
2023-01-10,West Bengal,391,191,199,97,215,78,Permanent
2023-01-10,Delhi,788,391,397,197,433,157,Permanent
2023-01-10,Jammu and Kashmir,890,453,437,222,490,178,Permanent
2023-01-11,Andhra Pradesh,504,259,244,126,277,100,Permanent
2023-01-11,Arunachal Pradesh,568,274,294,142,312,113,Permanent
2023-01-11,Assam,376,188,187,94,206,75,Temporary
2023-01-11,Bihar,889,438,450,222,489,177,Permanent
2023-01-11,Chhattisgarh,1221,621,599,305,671,244,Permanent
2023-01-11,Goa,356,173,183,89,196,71,Permanent
2023-01-11,Gujarat,482,240,242,120,265,96,Temporary
2023-01-11,Haryana,626,323,302,156,344,125,Permanent
2023-01-11,Himachal Pradesh,712,365,346,178,391,142,Permanent
2023-01-11,Jharkhand,799,387,411,199,439,159,Temporary
2023-01-11,Karnataka,1031,507,524,257,567,206,Permanent
2023-01-11,Kerala,577,290,287,144,317,115,Permanent
2023-01-11,Madhya Pradesh,653,327,326,163,359,130,Temporary
2023-01-11,Maharashtra,700,347,353,175,385,140,Temporary
2023-01-11,Manipur,1128,555,573,282,620,225,Permanent
2023-01-11,Meghalaya,630,311,319,157,346,126,Temporary
2023-01-11,Mizoram,917,471,445,229,504,183,Temporary
2023-01-11,Nagaland,748,364,384,187,411,149,Permanent
2023-01-11,Odisha,623,300,322,155,342,124,Permanent
2023-01-11,Punjab,410,204,206,102,225,82,Permanent
2023-01-11,Rajasthan,841,425,415,210,462,168,Permanent
2023-01-11,Sikkim,369,178,191,92,203,73,Temporary
2023-01-11,Tamil Nadu,339,164,174,84,186,67,Permanent
2023-01-11,Telangana,401,200,200,100,220,80,Temporary
2023-01-11,Tripura,1047,528,518,261,575,209,Permanent
2023-01-11,Uttar Pradesh,643,320,323,160,354,128,Permanent
2023-01-11,Uttarakhand,623,317,305,155,342,124,Temporary
2023-01-11,West Bengal,306,147,159,76,168,61,Permanent
2023-01-11,Delhi,929,453,475,232,511,185,Permanent
2023-01-11,Jammu and Kashmir,576,279,297,144,316,115,Permanent
2023-01-12,Andhra Pradesh,745,372,373,186,410,149,Permanent
2023-01-12,Arunachal Pradesh,611,302,308,152,336,122,Permanent
2023-01-12,Assam,742,384,357,185,408,148,Temporary
2023-01-12,Bihar,597,293,304,149,328,119,Temporary
2023-01-12,Chhattisgarh,357,180,176,89,196,71,Permanent
2023-01-12,Goa,1125,543,582,281,619,225,Permanent
2023-01-12,Gujarat,449,227,221,112,246,89,Permanent
2023-01-12,Haryana,386,186,200,96,212,77,Permanent
2023-01-12,Himachal Pradesh,1197,589,608,299,658,239,Permanent
2023-01-12,Jharkhand,1019,496,522,254,560,203,Permanent
2023-01-12,Karnataka,926,445,480,231,509,185,Permanent
2023-01-12,Kerala,1138,574,563,284,626,227,Permanent
2023-01-12,Madhya Pradesh,456,233,222,114,250,91,Permanent
2023-01-12,Maharashtra,809,420,389,202,445,161,Permanent
2023-01-12,Manipur,852,431,420,213,468,170,Permanent
2023-01-12,Meghalaya,654,323,330,163,359,130,Permanent
2023-01-12,Mizoram,705,345,359,176,387,141,Permanent
2023-01-12,Nagaland,508,249,258,127,279,101,Temporary
2023-01-12,Odisha,1038,517,520,259,571,207,Temporary
2023-01-12,Punjab,991,483,508,247,545,198,Permanent
2023-01-12,Rajasthan,1290,627,662,322,709,258,Permanent
2023-01-12,Sikkim,997,498,498,249,548,199,Temporary
2023-01-12,Tamil Nadu,965,482,482,241,530,193,Permanent
2023-01-12,Telangana,827,418,409,206,455,165,Temporary
2023-01-12,Tripura,441,216,225,110,242,88,Temporary
2023-01-12,Uttar Pradesh,1111,569,542,277,611,222,Permanent
2023-01-12,Uttarakhand,825,402,422,206,453,165,Permanent
2023-01-12,West Bengal,1011,516,495,252,556,202,Permanent
2023-01-12,Delhi,953,463,490,238,524,190,Permanent
2023-01-12,Jammu and Kashmir,1082,557,524,270,595,216,Permanent
2023-01-13,Andhra Pradesh,644,309,335,161,354,128,Permanent
2023-01-13,Arunachal Pradesh,645,325,320,161,355,129,Permanent
2023-01-13,Assam,802,403,399,200,441,160,Permanent
2023-01-13,Bihar,863,423,439,215,474,172,Temporary
2023-01-13,Chhattisgarh,690,340,349,172,379,138,Temporary
2023-01-13,Goa,974,484,489,243,535,194,Permanent
2023-01-13,Gujarat,590,288,301,147,324,118,Permanent
2023-01-13,Haryana,979,495,484,244,538,195,Temporary
2023-01-13,Himachal Pradesh,401,198,202,100,220,80,Permanent
2023-01-13,Jharkhand,790,390,400,197,434,158,Permanent
2023-01-13,Karnataka,337,168,168,84,185,67,Permanent
2023-01-13,Kerala,1109,571,538,277,610,221,Temporary
2023-01-13,Madhya Pradesh,488,243,244,122,268,97,Permanent
2023-01-13,Maharashtra,383,190,192,95,211,76,Temporary
2023-01-13,Manipur,937,455,482,234,515,187,Temporary
2023-01-13,Meghalaya,989,477,512,247,544,197,Permanent
2023-01-13,Mizoram,517,253,263,129,284,103,Permanent
2023-01-13,Nagaland,977,471,505,244,537,195,Permanent
2023-01-13,Odisha,311,154,156,77,171,62,Permanent
2023-01-13,Punjab,1207,599,607,301,664,241,Permanent
2023-01-13,Rajasthan,976,490,485,244,537,195,Permanent
2023-01-13,Sikkim,1191,577,614,297,655,238,Permanent
2023-01-13,Tamil Nadu,485,244,241,121,267,97,Permanent
2023-01-13,Telangana,425,205,220,106,234,85,Temporary
2023-01-13,Tripura,729,364,365,182,401,145,Permanent
2023-01-13,Uttar Pradesh,1210,603,607,302,666,242,Permanent
2023-01-13,Uttarakhand,891,446,445,222,490,178,Temporary
2023-01-13,West Bengal,683,332,350,170,375,136,Permanent
2023-01-13,Delhi,983,506,476,245,540,196,Temporary
2023-01-13,Jammu and Kashmir,1044,542,501,261,574,208,Temporary
2023-01-14,Andhra Pradesh,177,91,86,44,97,35,Permanent
2023-01-14,Arunachal Pradesh,419,214,204,104,230,83,Permanent
2023-01-14,Assam,673,337,335,168,370,134,Permanent
2023-01-14,Bihar,614,314,299,153,337,122,Permanent
2023-01-14,Chhattisgarh,676,343,333,169,372,135,Temporary
2023-01-14,Goa,370,181,188,92,203,74,Temporary
2023-01-14,Gujarat,245,126,118,61,134,49,Permanent
2023-01-14,Haryana,260,125,134,65,143,52,Temporary
2023-01-14,Himachal Pradesh,613,304,308,153,337,122,Temporary
2023-01-14,Jharkhand,550,283,266,137,302,110,Permanent
2023-01-14,Karnataka,268,138,130,67,147,53,Permanent
2023-01-14,Kerala,548,281,267,137,301,109,Permanent
2023-01-14,Madhya Pradesh,550,282,267,137,302,110,Permanent
2023-01-14,Maharashtra,373,184,189,93,205,74,Permanent
2023-01-14,Manipur,591,289,301,147,325,118,Permanent
2023-01-14,Meghalaya,365,185,180,91,201,73,Permanent
2023-01-14,Mizoram,388,201,186,97,213,77,Permanent
2023-01-14,Nagaland,254,128,125,63,139,50,Permanent
2023-01-14,Odisha,289,148,140,72,159,57,Permanent
2023-01-14,Punjab,540,266,274,135,297,108,Permanent
2023-01-14,Rajasthan,192,99,93,48,106,38,Temporary
2023-01-14,Sikkim,617,302,314,154,339,123,Temporary
2023-01-14,Tamil Nadu,546,272,274,136,300,109,Permanent
2023-01-14,Telangana,650,337,312,162,357,130,Permanent
2023-01-14,Tripura,439,225,213,109,241,87,Permanent
2023-01-14,Uttar Pradesh,694,333,360,173,382,138,Temporary
2023-01-14,Uttarakhand,557,273,283,139,306,111,Temporary
2023-01-14,West Bengal,247,119,127,61,136,49,Permanent
2023-01-14,Delhi,185,93,92,46,102,37,Permanent
2023-01-14,Jammu and Kashmir,353,182,171,88,194,70,Temporary
2023-01-15,Andhra Pradesh,547,266,280,136,300,109,Permanent
2023-01-15,Arunachal Pradesh,322,162,160,80,177,64,Temporary
2023-01-15,Assam,643,330,313,160,353,128,Permanent
2023-01-15,Bihar,225,114,111,56,123,45,Temporary
2023-01-15,Chhattisgarh,661,328,332,165,363,132,Permanent
2023-01-15,Goa,430,221,208,107,236,86,Permanent
2023-01-15,Gujarat,515,262,253,128,283,103,Permanent
2023-01-15,Haryana,426,213,213,106,234,85,Permanent
2023-01-15,Himachal Pradesh,701,350,350,175,385,140,Permanent
2023-01-15,Jharkhand,210,105,105,52,115,42,Permanent
2023-01-15,Karnataka,249,121,128,62,137,49,Permanent
2023-01-15,Kerala,317,152,165,79,174,63,Permanent
2023-01-15,Madhya Pradesh,261,129,132,65,144,52,Temporary
2023-01-15,Maharashtra,489,253,236,122,269,97,Permanent
2023-01-15,Manipur,230,113,116,57,126,46,Permanent
2023-01-15,Meghalaya,652,338,313,163,358,130,Permanent
2023-01-15,Mizoram,323,160,163,80,178,64,Temporary
2023-01-15,Nagaland,573,294,279,143,315,114,Temporary
2023-01-15,Odisha,561,270,290,140,308,112,Permanent
2023-01-15,Punjab,516,257,259,129,284,103,Permanent
2023-01-15,Rajasthan,242,117,125,60,133,48,Permanent
2023-01-15,Sikkim,405,205,199,101,223,81,Permanent
2023-01-15,Tamil Nadu,537,276,260,134,295,107,Temporary
2023-01-15,Telangana,261,131,130,65,143,52,Permanent
2023-01-15,Tripura,184,92,92,46,101,36,Permanent
2023-01-15,Uttar Pradesh,191,94,96,47,105,38,Temporary
2023-01-15,Uttarakhand,559,278,281,139,307,111,Permanent
2023-01-15,West Bengal,320,159,160,80,176,64,Temporary
